Qual é o principal objetivo do LINQ (Language-Integrated Query) em C#?,Fornecer uma sintaxe comum para consultar e transformar coleções de dados.,O texto afirma que 'LINQ (Language-Integrated Query) é uma tecnologia introduzida em C# que fornece uma sintaxe comum baseada em padrões para consultar ou transformar qualquer coleção de dados'.,Criar interfaces gráficas de usuário.; Fornecer uma sintaxe comum para consultar e transformar coleções de dados.; Gerenciar a memória em aplicações .NET.; Desenvolver aplicações para dispositivos móveis.
Como a linguagem C# evoluiu em relação ao seu ecossistema?,"Abraçou o código-aberto, permitindo a criação de sistemas em Windows, Linux e Mac.","O texto destaca que 'ao longo do tempo, a linguagem evoluiu e abraçou o mundo do código-aberto, permitindo a criação de sistemas que rodam em Windows, Linux e Mac com a mesma linguagem de programação.'","Permaneceu restrita ao desenvolvimento para Windows.; Tornou-se uma linguagem exclusiva para servidores.; Abraçou o código-aberto, permitindo a criação de sistemas em Windows, Linux e Mac.; Focou exclusivamente em aplicações embarcadas."
Qual o papel dos MVPs (Most Valuable Professionals) Microsoft na comunidade C# e .NET?,"Investem seu tempo em palestras e troca de informações, compartilhando conhecimento.","A passagem 'A dedicatória de um dos materiais ressalta o agradecimento a todos que, de alguma forma, participaram da história dos MVPs (Most Valuable Professionals) Microsoft, investindo seu tempo em palestras e trocando informações, acreditando na missão de compartilhar conhecimento e impactar vidas através da tecnologia.' descreve o papel deles.","São responsáveis apenas pela criação de novas versões do .NET Core.; Investem seu tempo em palestras e troca de informações, compartilhando conhecimento.; Desenvolvem exclusivamente ferramentas de linha de comando.; Focam apenas em testes de software."
O que é encapsulamento na Programação Orientada a Objetos (POO) em C#?,"A prática de esconder os detalhes internos de uma classe, controlando o acesso aos seus membros.","O texto define encapsulamento como 'a prática de esconder os detalhes internos de uma classe, controlando o acesso aos seus membros (atributos e métodos) e expondo apenas o que é essencial para a interação externa.'","A capacidade de um objeto ter múltiplas formas.; A prática de esconder os detalhes internos de uma classe, controlando o acesso aos seus membros.; O processo de criar novas classes a partir de classes existentes.; A combinação de diferentes classes em uma única unidade."
Quem foi o principal envolvido no projeto de criação da linguagem C#?,Anders Hejlsberg,"O texto menciona que 'o principal envolvido no projeto foi o engenheiro Anders Hejlsberg, que além do C# foi criador do Turbo Pascal e do Delphi.'",Bill Gates; Anders Hejlsberg; Satya Nadella; Linus Torvalds
Qual a relação entre C# e o framework .NET?,C# é uma linguagem de programação que roda sobre o framework .NET.,"O .NET é uma plataforma de desenvolvimento que inclui um runtime (CLR) e uma vasta biblioteca de classes, e C# é uma das linguagens primárias projetadas para utilizar essa plataforma.","C# é um framework independente do .NET.; .NET é uma linguagem de programação, e C# é um dos seus frameworks.; C# é uma linguagem de programação que roda sobre o framework .NET.; Ambos são sistemas operacionais."
"No contexto de POO em C#, o que significa 'polimorfismo'?",A habilidade de objetos de diferentes classes responderem à mesma mensagem (método) de maneiras específicas.,"Polimorfismo permite que um objeto possa ser tratado como uma instância de sua classe pai ou de uma classe irmã, possibilitando a execução de métodos de forma adaptada ao tipo real do objeto.",A capacidade de uma classe ter múltiplos construtores.; A habilidade de objetos de diferentes classes responderem à mesma mensagem (método) de maneiras específicas.; A restrição de acesso a membros de uma classe.; A criação de novas classes a partir de classes existentes.
Qual a importância da comunidade para o desenvolvimento e adoção do C#?,"A comunidade contribui com feedback, bibliotecas e suporte, impulsionando a evolução e adoção do C#.","Uma comunidade ativa, incluindo desenvolvedores, MVPs e usuários, é crucial para identificar bugs, sugerir novas funcionalidades, criar ferramentas e compartilhar conhecimento, fortalecendo o ecossistema C#.","A comunidade não tem influência no desenvolvimento da linguagem.; A comunidade contribui com feedback, bibliotecas e suporte, impulsionando a evolução e adoção do C#.; A comunidade é responsável apenas pela documentação oficial.; A comunidade é irrelevante para o ecossistema .NET."
Qual das opções NÃO é um tipo de dado primitivo em C#?,List,"É uma classe da biblioteca, não primitivo.",Bool; Int; String; List
Quais são os 4 princípios da POO?,"Encapsulamento, Herança, Polimorfismo e Abstração.","Ao falar sobre OOs, alguns conceitos são centrais e dão sustentação para esse paradigma. É o que se denomina de pilares da Orientação a Objetos.

Os principais pilares são: Encapsulamento, Herança, Polimorfismo e Abstração.","Entidades, Atributos, Registros e Relacionamentos.; Encapsulamento, Herança, Polimorfismo e Abstração.; Classes, Objetos, Entidades e Dados.; Encapsulamento, Herança, Polimorfismo e Registros."
"Dado o código abaixo, qual será a saída?

int x = 5;
int y = 2;
Console.WriteLine(x / y);
",2,"Estamos dividindo dois inteiros ""int"", portanto a saída é 2.",2.5; 2; 3; Erro
